# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1663693138.670310258865356,0.00301,0.00013,0.00001,0.00196,0.00000,0.00017,0.00528
1663693138.703454256057739,0.00158,0.00014,0.00001,0.00198,0.00000,0.00014,0.00384
1663693138.736959695816040,0.00151,0.00013,0.00009,0.00169,0.00000,0.00012,0.00355
1663693138.770374298095703,0.00256,0.00021,0.00006,0.00176,0.00002,0.00019,0.00480
1663693138.803486585617065,0.00154,0.00015,0.00003,0.00163,0.00000,0.00012,0.00347
1663693138.836989879608154,0.00138,0.00013,0.00001,0.00164,0.00000,0.00012,0.00328
1663693138.870344161987305,0.00208,0.00012,0.00001,0.00156,0.00000,0.00020,0.00397
1663693138.903411388397217,0.00155,0.00014,0.00003,0.00171,0.00140,0.00017,0.00501
1663693138.936880588531494,0.00132,0.00014,0.00001,0.00167,0.00090,0.00013,0.00417
1663693138.970232248306274,0.00159,0.00017,0.00005,0.00166,0.00002,0.00015,0.00364
1663693139.003340959548950,0.00170,0.00013,0.00007,0.00158,0.00000,0.00012,0.00360
1663693139.036833524703979,0.00142,0.00013,0.00006,0.00127,0.00000,0.00012,0.00300
1663693139.070243120193481,0.00151,0.00012,0.00005,0.00115,0.00011,0.00015,0.00310
1663693139.103382825851440,0.00245,0.00015,0.00008,0.00108,0.00001,0.00031,0.00406
1663693139.136906862258911,0.00247,0.00013,0.00013,0.00074,0.00001,0.00018,0.00365
1663693139.170248031616211,0.00297,0.00016,0.00006,0.00074,0.00002,0.00020,0.00415
1663693139.203504323959351,0.00186,0.00013,0.00008,0.00062,0.00021,0.00018,0.00308
1663693139.236761093139648,0.00214,0.00011,0.00003,0.00056,0.00000,0.00017,0.00302
1663693139.270254611968994,0.00172,0.00012,0.00006,0.00057,0.00000,0.00016,0.00263
1663693139.303657054901123,0.00194,0.00011,0.00028,0.00044,0.00002,0.00014,0.00294
1663693139.336865186691284,0.00263,0.00011,0.00015,0.00038,0.00088,0.00014,0.00428
1663693139.370221853256226,0.00239,0.00013,0.00026,0.00047,0.00009,0.00015,0.00348
1663693139.403636693954468,0.00176,0.00012,0.00027,0.00041,0.00003,0.00019,0.00279
1663693139.436825513839722,0.00226,0.00011,0.00001,0.00036,0.00130,0.00019,0.00423
1663693139.470343351364136,0.00167,0.00012,0.00017,0.00051,0.00001,0.00019,0.00268
1663693139.503759860992432,0.00183,0.00014,0.00001,0.00057,0.00000,0.00016,0.00272
1663693139.536819219589233,0.00182,0.00011,0.00010,0.00045,0.00000,0.00014,0.00263
1663693139.570322751998901,0.00227,0.00012,0.00031,0.00045,0.00000,0.00017,0.00332
1663693139.603713989257812,0.00177,0.00013,0.00019,0.00041,0.00215,0.00019,0.00484
1663693139.636817932128906,0.00167,0.00012,0.00013,0.00067,0.00109,0.00015,0.00382
1663693139.670336484909058,0.00242,0.00015,0.00024,0.00077,0.00048,0.00020,0.00426
1663693139.703720092773438,0.00224,0.00013,0.00013,0.00073,0.00002,0.00017,0.00342
1663693139.736855268478394,0.00173,0.00013,0.00016,0.00079,0.00046,0.00014,0.00340
1663693139.770366430282593,0.00220,0.00015,0.00037,0.00071,0.00043,0.00012,0.00398
1663693139.803710222244263,0.00171,0.00017,0.00016,0.00065,0.00123,0.00014,0.00406
1663693139.836803674697876,0.00189,0.00016,0.00010,0.00087,0.00002,0.00013,0.00318
1663693139.870344400405884,0.00234,0.00013,0.00004,0.00066,0.00008,0.00016,0.00342
1663693139.903754234313965,0.00185,0.00012,0.00021,0.00076,0.00010,0.00017,0.00322
1663693139.937010526657104,0.00172,0.00012,0.00022,0.00071,0.00000,0.00018,0.00294
1663693139.970250606536865,0.00175,0.00012,0.00029,0.00083,0.00027,0.00017,0.00344
1663693140.003730535507202,0.00142,0.00012,0.00011,0.00079,0.00073,0.00036,0.00353
1663693140.037073373794556,0.00161,0.00012,0.00040,0.00073,0.00022,0.00015,0.00323
1663693140.070204496383667,0.00151,0.00013,0.00070,0.00069,0.00002,0.00015,0.00320
1663693140.103709697723389,0.00142,0.00012,0.00004,0.00091,0.00065,0.00020,0.00334
1663693140.137125253677368,0.00177,0.00012,0.00034,0.00066,0.00214,0.00016,0.00520
1663693140.170271158218384,0.00351,0.00017,0.00037,0.00112,0.00000,0.00018,0.00535
